rank,formula,family,charge,n_atoms,e_reaction_kcalmol,reference_reaction,is_true_minimum,n_imaginary_freq,xyz
1,N6_neutral,neutral,0,6,-63.70760812453905,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0017_conf1/xtbopt.xyz
2,N6_neutral,neutral,0,6,-39.62263803455806,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0055_conf1/xtbopt.xyz
3,N6_neutral,neutral,0,6,-8.712527106534086,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0110_conf1/xtbopt.xyz
4,N6_neutral,neutral,0,6,-3.1247564393944107,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0008_conf1/xtbopt.xyz
5,N6_neutral,neutral,0,6,0.9082051303605122,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0099_conf1/xtbopt.xyz
6,N6_neutral,neutral,0,6,15.085337088996223,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0075_conf0/xtbopt.xyz
7,N6_neutral,neutral,0,6,19.91903580139864,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0092_conf0/xtbopt.xyz
8,N6_neutral,neutral,0,6,20.807220838173926,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0009_conf0/xtbopt.xyz
9,N6_neutral,neutral,0,6,47.09418706856321,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N6_neutral_iso0114_conf0/post_freq_minimum.xyz
10,N6_neutral,neutral,0,6,50.61547482646587,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0060_conf1/xtbopt.xyz
11,N6_neutral,neutral,0,6,55.86434495509827,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0076_conf1/xtbopt.xyz
12,N6_neutral,neutral,0,6,72.95052755023191,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N6_neutral_iso0020_conf1/xtbopt.xyz
1,N8_neutral,neutral,0,8,-113.38107044283487,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0077_conf0/xtbopt.xyz
2,N8_neutral,neutral,0,8,-103.46646134529364,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0034_conf0/xtbopt.xyz
3,N8_neutral,neutral,0,8,-93.11717257161519,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0172_conf1/xtbopt.xyz
4,N8_neutral,neutral,0,8,-85.28532966018521,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0038_conf0/xtbopt.xyz
5,N8_neutral,neutral,0,8,-83.97298153836245,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0172_conf0/xtbopt.xyz
6,N8_neutral,neutral,0,8,-56.850470937238384,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N8_neutral_iso0076_conf0/post_freq_minimum.xyz
7,N8_neutral,neutral,0,8,-47.00167307541667,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0001_conf1/xtbopt.xyz
8,N8_neutral,neutral,0,8,-46.158438485324965,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/frequency/N8_neutral_iso0227_conf1/post_freq_minimum.xyz
9,N8_neutral,neutral,0,8,-39.676953779218955,Nx -> (x/2) N2,True,0,resultats/seeds_pubchem/work/xtb/N8_neutral_iso0039_conf1/xtbopt.xyz
