rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq
6,N11_anion,anion,N11_anion_iso0014_conf0,-1,11,-32.16228873671401,-2.9238444306103646,-0.1095847367140123,-0.2710865997627175,-68.76546100583428,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N11_anion_iso0014_conf0/xtbopt.xyz,True,0,0
7,N11_anion,anion,N11_anion_iso0174_conf0,-1,11,-32.13042738451849,-2.9209479440471355,-0.0777233845184923,-0.1922691851343763,-48.772160499833895,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N11_anion_iso0174_conf0/xtbopt.xyz,True,0,0
8,N11_anion,anion,N11_anion_iso0214_conf1,-1,11,-32.12742522448432,-2.9206750204076655,-0.0747212244843211,-0.1848425545650944,-46.88827662190077,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0214_conf1/post_freq_minimum.xyz,True,1,0
9,N11_anion,anion,N11_anion_iso0024_conf0,-1,11,-32.111175934189816,-2.9191978121990743,-0.0584719341898178,-0.144645671435375,-36.69169294040466,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N11_anion_iso0024_conf0/xtbopt.xyz,True,0,0
10,N11_anion,anion,N11_anion_iso0004_conf0,-1,11,-32.10612573368871,-2.9187387030626097,-0.0534217336887081,-0.132152675393977,-33.52264425676349,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0004_conf0/post_freq_minimum.xyz,True,2,0
11,N11_anion,anion,N11_anion_iso0039_conf0,-1,11,-32.08054334880888,-2.916413031709898,-0.0278393488088823,-0.0688679339341167,-17.469455257633822,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0039_conf0/post_freq_minimum.xyz,True,1,0
12,N11_anion,anion,N11_anion_iso0109_conf0,-1,11,-32.06908493838588,-2.9153713580350797,-0.016380938385879,-0.0405225492263533,-10.279194106683518,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0109_conf0/post_freq_minimum.xyz,True,1,0
13,N11_anion,anion,N11_anion_iso0114_conf1,-1,11,-32.063051729974354,-2.914822884543123,-0.0103477299743559,-0.0255978251910352,-6.493298641648246,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0114_conf1/post_freq_minimum.xyz,True,1,0
14,N11_anion,anion,N11_anion_iso0199_conf1,-1,11,-32.02107479462927,-2.911006799511752,0.0316292053707272,0.0782431385451396,19.84762617299928,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0199_conf1/post_freq_minimum.xyz,True,1,0
15,N11_anion,anion,N11_anion_iso0163_conf1,-1,11,-31.992418888129805,-2.9084017171027097,0.0602851118701934,0.1491310421802209,37.82947912135711,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0163_conf1/post_freq_minimum.xyz,True,1,0
16,N11_anion,anion,N11_anion_iso0082_conf1,-1,11,-31.991017001268386,-2.90827427284258,0.0616869987316164,0.1525989771674351,38.70917641492596,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0082_conf1/post_freq_minimum.xyz,True,1,0
17,N11_anion,anion,N11_anion_iso0175_conf0,-1,11,-31.95870886893707,-2.90533716990337,0.093995131062929,0.2325216196905114,58.98283569101862,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0175_conf0/post_freq_minimum.xyz,True,2,0
1,N13_anion,anion,N13_anion_iso0101_conf0,-1,13,-38.01099120222423,-2.9239224001710946,-0.1943522022242305,-0.4068148340370696,-121.95784909651044,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N13_anion_iso0101_conf0/xtbopt.xyz,True,0,0
2,N13_anion,anion,N13_anion_iso0244_conf1,-1,13,-37.964199385821715,-2.9203230296785936,-0.1475603858217127,-0.3088709733232027,-92.59554077964368,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N13_anion_iso0244_conf1/post_freq_minimum.xyz,True,1,0
3,N13_anion,anion,N13_anion_iso0246_conf0,-1,13,-37.77838240092317,-2.9060294154556283,0.0382565990768313,0.0800780841490434,24.00637854247173,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N13_anion_iso0246_conf0/post_freq_minimum.xyz,True,1,0
4,N13_anion,anion,N13_anion_iso0246_conf1,-1,13,-37.76703800633325,-2.9051567697179426,0.0496009936667505,0.1038239843731348,31.125093677443044,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N13_anion_iso0246_conf1/xtbopt.xyz,True,0,0
1,N5_cation,cation,N5_cation_iso0000_conf1,1,5,-13.985264489345155,-2.797052897869031,-0.1683294893451545,-0.9160957502321846,-105.62835010412653,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N5_cation_iso0000_conf1/xtbopt.xyz,True,0,0
2,N5_cation,cation,N5_cation_iso0009_conf1,1,5,-13.867082469677957,-2.773416493935591,-0.050147469677956,-0.2729164333331665,-31.46801255434144,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N5_cation_iso0009_conf1/xtbopt.xyz,True,0,0
3,N5_cation,cation,N5_cation_iso0019_conf1,1,5,-13.81817598029478,-2.763635196058956,-0.0012409802947797,-0.0067537588249821,-0.7787268978196178,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N5_cation_iso0019_conf1/xtbopt.xyz,True,0,0
4,N5_cation,cation,N5_cation_iso0016_conf1,1,5,-13.816934517874332,-2.763386903574866,4.821256691656117e-07,2.6238615605541775e-06,0.0003025384273125,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N5_cation_iso0016_conf1/xtbopt.xyz,True,0,0
5,N5_cation,cation,N5_cation_iso0006_conf0,1,5,-13.77171748476894,-2.754343496953788,0.0452175152310623,0.2460862544072564,28.374419409493743,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/frequency/N5_cation_iso0006_conf0/post_freq_minimum.xyz,True,1,0
6,N5_cation,cation,N5_cation_iso0010_conf1,1,5,-13.6915122497785,-2.7383024499557003,0.1254227502214995,0.68258538006226,78.70396460511995,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N5_cation_iso0010_conf1/xtbopt.xyz,True,0,0
7,N5_cation,cation,N5_cation_iso0013_conf1,1,5,-13.689519483389637,-2.737903896677927,0.1274155166103643,0.6934305672433446,79.95444440291189,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N5_cation_iso0013_conf1/xtbopt.xyz,True,0,0
1,N7_cation,cation,N7_cation_iso0057_conf1,1,7,-19.79348150027493,-2.82764021432499,-0.212611500274928,-0.8264933791885787,-133.41573169722292,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N7_cation_iso0057_conf1/xtbopt.xyz,True,0,0
2,N7_cation,cation,N7_cation_iso0113_conf0,1,7,-19.7836101648891,-2.8262300235555857,-0.2027401648891,-0.7881201334817995,-127.22137517546412,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/frequency/N7_cation_iso0113_conf0/post_freq_minimum.xyz,True,1,0
3,N7_cation,cation,N7_cation_iso0002_conf1,1,7,-19.750441180134725,-2.8214915971621037,-0.1695711801347244,-0.6591809826905703,-106.40752284416148,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N7_cation_iso0002_conf1/xtbopt.xyz,True,0,0
4,N7_cation,cation,N7_cation_iso0005_conf0,1,7,-19.648049733777384,-2.806864247682483,-0.0671797337773831,-0.2611505262455743,-42.15591971997928,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N7_cation_iso0005_conf0/xtbopt.xyz,True,0,0
5,N7_cation,cation,N7_cation_iso0068_conf1,1,7,-19.594388675489203,-2.7991983822127433,-0.0135186754892018,-0.0525517000386916,-8.483097008566958,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N7_cation_iso0068_conf1/xtbopt.xyz,True,0,0
6,N7_cation,cation,N7_cation_iso0030_conf1,1,7,-19.508507605011445,-2.786929657858778,0.0723623949885556,0.2812972971026192,45.40808875473649,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/xtb/N7_cation_iso0030_conf1/xtbopt.xyz,True,0,0
1,N9_cation,cation,N9_cation_iso0041_conf0,1,9,-25.575860605293915,-2.8417622894771015,-0.2310556052939141,-0.6985937022170273,-144.9895824222612,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/frequency/N9_cation_iso0041_conf0/post_freq_minimum.xyz,True,1,0
2,N9_cation,cation,N9_cation_iso0011_conf0,1,9,-25.57183557908974,-2.8413150643433043,-0.2270305790897389,-0.6864240863623569,-142.46384032723748,Nx+ -> (x-5)/2 N2 + N5+,resultats/seeds_pubchem/work/frequency/N9_cation_iso0011_conf0/post_freq_minimum.xyz,True,1,0
