source,tag,xyz_file,n_atoms,topology_label,charge,uhf,converged,e_xtb_hartree,e_xtb_eV_per_atom,delta_E_eV_per_atom_vs_N2,seconds
N_csp,N_csp_N7_0030_bicyclic-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0030_bicyclic-4-4.xyz,7,bicyclic-4-4,0,1,True,-20.212298058322943,-78.57209,-0.14976,27.32
N_csp,N_csp_N7_0050_bicyclic-4-5-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0050_bicyclic-4-5-5.xyz,7,bicyclic-4-5-5,0,1,False,,,,6.4
N_csp,N_csp_N7_0043_bicyclic-3-5-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0043_bicyclic-3-5-5.xyz,7,bicyclic-3-5-5,0,1,True,-20.212298057477565,-78.57209,-0.14976,13.81
N_csp,N_csp_N7_0054_bicyclic-3-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0054_bicyclic-3-3-4.xyz,7,bicyclic-3-3-4,0,1,False,,,,2.52
N_csp,N_csp_N7_0047_bicyclic-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0047_bicyclic-4-5.xyz,7,bicyclic-4-5,0,1,False,,,,11.69
N_csp,N_csp_N7_0057_bicyclic-3-4-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0057_bicyclic-3-4-4-4.xyz,7,bicyclic-3-4-4-4,0,1,True,-20.09456434347933,-78.11442,0.30791,2.45
N_csp,N_csp_N7_0025_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0025_ring-3-substituted.xyz,7,ring-3-substituted,0,1,True,-20.212298058581187,-78.57209,-0.14976,37.22
N_csp,N_csp_N7_0056_bicyclic-4-6,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0056_bicyclic-4-6.xyz,7,bicyclic-4-6,0,1,False,,,,3.86
N_csp,N_csp_N7_0058_bicyclic-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0058_bicyclic-4-4.xyz,7,bicyclic-4-4,0,1,False,,,,2.67
N_csp,N_csp_N7_0059_bicyclic-3-3-5-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0059_bicyclic-3-3-5-5.xyz,7,bicyclic-3-3-5-5,0,1,False,,,,5.68
